Date,Hour,"Scheduled
Departures","Scheduled
Arrivals","Departures
For Metric
Computation","Arrivals
For Metric
Computation","% On-Time
Gate
Departures","% On-Time
Airport
Departures","% On-Time
Gate
Arrivals","Average
Gate
Departure
Delay","Average
Taxi
Out
Time","Average
Taxi
Out
Delay","Average
Airport
Departure
Delay","Average
Airborne
Delay","Average
Taxi
In
Delay","Average
Block
Delay","Average
Gate
Arrival
Delay"
01-01-2020,0,2,13,2,7,50,50,100,15.5,13.5,1.6,17,0.43,5.29,0,0
01-01-2020,1,1,1,1,1,100,100,100,0,26,13.4,12,0,2.3,0,0
01-01-2020,2,0,2,0,1,0,0,100,0,0,0,0,0,0,0,0
01-01-2020,4,0,5,0,6,0,0,83.33,0,0,0,0,0,0.65,0.33,12.67
01-01-2020,5,8,15,8,11,75,25,63.64,28.25,30.38,16.75,43.5,1.18,6.91,5.09,8.55
01-01-2020,6,29,10,29,9,86.21,79.31,88.89,4.76,19.03,5.91,8.14,0.33,7.87,4.11,11.11
01-01-2020,7,37,28,37,27,91.89,83.78,88.89,15.84,20.32,7.44,21.27,3.44,4.04,3.78,4.11
01-01-2020,8,40,21,40,22,80,42.5,81.82,12.18,27.88,15.18,24.98,2,4.26,1.5,9.91
01-01-2020,9,26,23,25,23,80,68,95.65,9.84,22.76,9.61,16.88,2,3.58,1.65,0.91
01-01-2020,10,36,31,36,31,80.56,72.22,90.32,11,17.08,4.71,14.25,2.23,3.84,0.77,5.65
01-01-2020,11,32,23,33,23,93.94,90.91,91.3,7.3,18.24,5.52,9.64,2.52,3.55,2.17,5.65
01-01-2020,12,21,26,21,25,76.19,76.19,96,8.05,14.95,2.44,9.1,1.48,4.1,0.6,2.68
01-01-2020,13,19,34,19,31,84.21,84.21,80.65,7.42,15.26,2.73,8.68,2.52,3.06,1.71,27.9
01-01-2020,14,32,41,31,41,87.1,77.42,92.68,7.29,20.68,7.98,13.45,4.76,3.9,1.85,7.95
01-01-2020,15,34,33,34,33,82.35,58.82,93.94,10.82,23.71,10.82,20.35,5.15,3.42,0.97,1.36
01-01-2020,16,34,41,35,40,82.86,62.86,87.5,9.11,23.91,10.77,17.66,4,8.96,3.9,3.9
01-01-2020,17,38,31,38,31,84.21,57.89,74.19,8.89,25.89,12.81,18,4.77,6.19,3.23,7.65
01-01-2020,18,38,26,38,26,84.21,71.05,80.77,7.95,20.87,7.97,13.82,5.46,10.9,8.38,9.81
01-01-2020,19,30,39,30,39,73.33,70,87.18,10.1,18.93,5.92,14.8,1.97,8.16,2.62,13.18
01-01-2020,20,37,37,37,37,62.16,48.65,81.08,20.7,22.16,9.48,28.81,5.57,6.66,4.49,12.51
01-01-2020,21,36,28,36,29,86.11,66.67,86.21,5.42,22.83,9.94,13.17,4.24,6.75,0.97,11.03
01-01-2020,22,8,19,8,19,75,75,100,14.5,19.88,7.15,19,1.53,2.14,0.89,1.42
01-01-2020,23,4,15,5,15,80,80,86.67,8.4,13.2,1.64,9.2,0.33,1.91,0,9.27
01-02-2020,0,2,15,2,13,100,100,84.62,0,11,0,0,1.62,0.61,0.23,9.23
01-02-2020,1,1,1,1,1,100,100,100,0,15,2.4,0,0,4.3,0,0
01-02-2020,2,0,2,0,2,0,0,100,0,0,0,0,5.5,0,0,0
01-02-2020,3,0,0,1,0,0,0,0,37,18,5.4,42,0,0,0,0
01-02-2020,4,0,6,1,10,0,0,80,25,25,12.4,37,0,1.87,1,23.4
01-02-2020,5,9,15,9,20,100,77.78,85,1.33,25.22,11.5,9.78,1.05,1.97,2.15,5.9
01-02-2020,6,43,12,43,12,90.7,76.74,91.67,5.72,22.58,9.53,12.6,0.58,7.49,1.83,7.5
01-02-2020,7,41,36,47,39,89.36,76.6,84.62,7.19,21.94,9.11,13.96,3.38,4.33,4.08,9.56
01-02-2020,8,40,27,43,28,90.7,60.47,85.71,2.86,27.72,15.01,15.42,2.18,7.52,1.79,11.32
01-02-2020,9,29,23,31,24,90.32,38.71,91.67,6.9,34.26,21.18,23.42,0.71,5.36,1.33,9.92
01-02-2020,10,39,34,43,34,79.07,58.14,88.24,7.53,25.02,12.24,15.95,3.06,3.26,1.15,5.97
01-02-2020,11,35,26,35,26,80,77.14,88.46,9.57,19.37,6.73,13.66,2.31,3.36,2.23,3
01-02-2020,12,22,29,22,30,63.64,59.09,90,18.95,17.41,4.73,21.77,2.17,6.1,2.77,5.77
01-02-2020,13,20,37,21,36,71.43,61.9,80.56,12.19,15.67,3.79,13.95,2.25,2.89,0.31,16.75
01-02-2020,14,34,40,33,44,75.76,63.64,79.55,15.55,20.94,8.46,22,4.55,3.48,1.7,12.89
01-02-2020,15,34,34,34,36,79.41,70.59,80.56,9.88,20,7.16,15.47,5.53,2.66,1.56,10.03
01-02-2020,16,35,40,37,39,78.38,72.97,87.18,7.51,20,7.05,12.27,4.31,5.35,2.59,7.08
01-02-2020,17,40,36,39,41,87.18,61.54,80.49,22.79,26.21,13.07,32.51,5.93,6.3,3.29,8.39
01-02-2020,18,40,29,40,32,85,47.5,78.13,6.03,28.55,15.56,18.45,4.25,7.26,3.41,7.5
01-02-2020,19,32,40,34,40,76.47,52.94,92.5,12.09,23.53,10.52,19.82,4.68,7.54,2.5,3.03
01-02-2020,20,39,38,39,38,76.92,58.97,81.58,12.77,21.77,9.06,19.67,7.42,6.06,2.66,11.82
01-02-2020,21,36,33,38,34,81.58,60.53,91.18,4.89,25.16,12.33,14.16,8.09,6.33,3.29,5.85
01-02-2020,22,12,21,19,21,73.68,57.89,95.24,11.47,20.47,8.05,16.74,2.14,5.76,0.52,3.24
01-02-2020,23,4,14,6,18,83.33,66.67,100,52.17,15.83,3.67,55.5,0.5,1.17,0.33,1.06
01-03-2020,0,2,14,2,22,100,100,95.45,0,11.5,0,0,1.41,1.13,0,14
01-03-2020,1,1,0,3,2,100,100,50,0,14,1.6,1.33,0,5.65,0,62.5
01-03-2020,2,0,2,0,6,0,0,66.67,0,0,0,0,0,0.33,0,19.67
01-03-2020,3,0,0,10,0,70,80,0,9.4,12.5,0.96,9.6,0,0,0,0
01-03-2020,4,0,6,7,10,71.43,85.71,80,6.86,16,5.57,10.43,0.5,1.57,2.8,14.4
01-03-2020,5,9,15,9,18,55.56,55.56,72.22,66.22,18,4.37,70,0.94,4.27,3.94,32.33
01-03-2020,6,41,12,43,16,95.35,74.42,68.75,2.28,23.42,10.33,9.79,0.44,8.53,4.13,13.56
01-03-2020,7,42,36,44,39,93.18,68.18,82.05,9.43,23.8,10.77,17.39,3.33,5.86,2.62,13.77
