Date,Hour,"Scheduled
Departures","Scheduled
Arrivals","Departures
For Metric
Computation","Arrivals
For Metric
Computation","% On-Time
Gate
Departures","% On-Time
Airport
Departures","% On-Time
Gate
Arrivals","Average
Gate
Departure
Delay","Average
Taxi
Out
Time","Average
Taxi
Out
Delay","Average
Airport
Departure
Delay","Average
Airborne
Delay","Average
Taxi
In
Delay","Average
Block
Delay","Average
Gate
Arrival
Delay"
01-01-2019,0,1,10,1,6,100,100,83.33,0,15,2.4,0,0.83,1.93,0,3.83
01-01-2019,1,1,5,1,1,0,0,100,21,18,5.4,26,0,8.8,0,0
01-01-2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-2019,4,0,6,0,4,0,0,100,0,0,0,0,0,6.35,0,0
01-01-2019,5,4,12,4,9,100,100,100,0.25,16.5,2.78,0.75,0.33,1.5,1.22,1.56
01-01-2019,6,25,11,25,8,84,88,75,11.04,16.92,3.84,12,0.38,8.11,3.75,6.88
01-01-2019,7,27,19,27,18,96.3,92.59,77.78,5.96,17.22,4.21,8.15,3.5,1.56,4.33,7.28
01-01-2019,8,44,14,43,14,90.7,72.09,78.57,4.47,22.35,9.43,11.05,1.43,3.13,4,24.64
01-01-2019,9,29,28,29,28,89.66,72.41,96.43,15.24,20.97,8.02,21.21,1.96,5.6,1.32,1.64
01-01-2019,10,31,19,32,19,87.5,81.25,84.21,5.53,20.66,7.82,10.03,3.79,2.5,0.89,5.21
01-01-2019,11,27,25,27,25,96.3,77.78,76,2.07,19.19,6.26,6,2.56,2.18,2.76,35.64
01-01-2019,12,26,26,26,27,76.92,80.77,81.48,15.27,15,2.99,17.04,1.89,1.08,0.96,14.37
01-01-2019,13,19,37,20,37,60,60,56.76,24.65,16.3,3.9,26.7,2.51,2.91,4.7,40.14
01-01-2019,14,34,39,33,38,60.61,54.55,47.37,24.61,20.61,8.06,31.39,3.08,4.34,4.89,34.68
01-01-2019,15,37,34,39,35,58.97,51.28,57.14,22.64,19.79,6.82,27.85,2.54,4.95,3.51,19.77
01-01-2019,16,35,42,35,42,54.29,51.43,54.76,20.57,20.17,7.19,25.91,1.67,3.32,0.83,34.95
01-01-2019,17,34,38,32,37,71.88,53.13,64.86,20.41,21.56,8.47,27.09,2.86,5.02,1.73,16.19
01-01-2019,18,47,26,45,24,62.22,42.22,62.5,15.64,23.24,10.38,24.56,2.38,5.29,0.96,17.46
01-01-2019,19,35,39,35,40,68.57,54.29,77.5,18.2,22.91,10.03,26.2,2.7,6.53,1.07,14.55
01-01-2019,20,37,39,37,38,75.68,62.16,68.42,9.89,20.95,8.24,16.08,3.18,4.03,1.37,11.39
01-01-2019,21,36,34,36,33,77.78,55.56,57.58,11,21.61,8.73,18.06,3.33,4.15,1.06,19.09
01-01-2019,22,9,10,9,10,55.56,22.22,90,14.22,20.67,8.1,20.22,0.6,3.72,2.3,6.4
01-01-2019,23,7,30,6,30,83.33,83.33,90,2.83,17.5,4.87,4.83,0.4,2.27,1.27,8.17
01-02-2019,0,1,10,1,10,100,100,70,0,11,0,0,1,0.53,0,6.1
01-02-2019,1,1,7,1,6,100,100,83.33,0,12,0,0,0,2.3,0,8
01-02-2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02-2019,3,0,0,0,2,0,0,100,0,0,0,0,0,1.5,0,1
01-02-2019,4,0,5,0,7,0,0,100,0,0,0,0,0,1.09,0.43,0
01-02-2019,5,8,13,10,17,90,70,94.12,4.7,19.1,6.46,10.4,2.12,0.84,3.06,4.12
01-02-2019,6,39,11,39,15,89.74,79.49,80,6.31,21.51,8.6,12.77,1.73,2.79,2.07,9.8
01-02-2019,7,37,39,37,41,86.49,67.57,85.37,7.76,25.46,12.37,17.59,4.93,5.56,4.93,13.12
01-02-2019,8,52,24,59,25,91.53,28.81,88,5.27,41.69,28.83,29.49,3,4.22,1.24,6.04
01-02-2019,9,32,32,37,33,78.38,2.7,93.94,14.35,48.62,35.72,46.7,2.45,5.74,2.21,2.88
01-02-2019,10,38,18,40,18,92.5,7.5,83.33,2,43.03,30.2,27.9,4.56,5.18,1.44,28.22
01-02-2019,11,25,30,25,29,84,24,93.1,33.24,32.08,19.22,49.24,1.83,1.49,0.9,7.83
